anime,score=-0.087327
xd,score=-0.081085
>.<,score=-0.070866
o.o,score=-0.070157
t_t,score=-0.069756
manga,score=-0.069509
^,score=-0.069341
> . >,score=-0.068069
_,score=-0.06763
^ ^,score=-0.06727
internet,score=-0.066852
: 3,score=-0.062747
d:,score=-0.061575
.,score=-0.05934
^_^,score=-0.058475
sigh,score=-0.057656
computer,score=-0.055445
pokemon,score=-0.054476
the internet,score=-0.054324
x_x,score=-0.053928
>,score=-0.053923
dx,score=-0.053899
o_o,score=-0.053659
* sigh,score=-0.053025
-.-,score=-0.052576
>_<,score=-0.051196
* sigh *,score=-0.051114
. : 3,score=-0.050927
sigh *,score=-0.050307
t . t,score=-0.050225
-_-,score=-0.048428
final fantasy,score=-0.048368
x3,score=-0.047938
d:<,score=-0.047372
ang,score=-0.04712
japanese,score=-0.046842
mga,score=-0.046659
@_,score=-0.045943
drawing,score=-0.045933
> <,score=-0.045659
@_ @,score=-0.045437
apparently,score=-0.045384
doctor who,score=-0.04494
pc,score=-0.044244
. at least,score=-0.044107
reading,score=-0.043824
ng,score=-0.043821
. ^ ^,score=-0.0437
draw,score=-0.043695
my computer,score=-0.043449
ako,score=-0.043168
nga,score=-0.043164
comic,score=-0.043094
to draw,score=-0.042917
using,score=-0.042464
won't,score=-0.042333
related,score=-0.042151
books,score=-0.042104
evil,score=-0.041891
they're,score=-0.041639
please put this,score=-0.041437
naman,score=-0.041265
suddenly,score=-0.041217
rin,score=-0.040971
lang,score=-0.040959
xp,score=-0.040684
8d,score=-0.040679
zombie,score=-0.04054
! ^ ^,score=-0.040486
^ -,score=-0.040484
human,score=-0.040293
to read,score=-0.040219
metal,score=-0.039972
people won't,score=-0.039971
laptop,score=-0.039698
93.00%,score=-0.039586
gaming,score=-0.039416
i don't,score=-0.03935
ni,score=-0.039338
depression,score=-0.039286
0.93,score=-0.039256
google,score=-0.039239
don't want to,score=-0.03913
sort of,score=-0.039061
characters,score=-0.039059
related to,score=-0.038904
account,score=-0.038809
0.93%,score=-0.038666
- ^,score=-0.038552
pages,score=-0.038452
wala,score=-0.038338
kaya,score=-0.03833
^ - ^,score=-0.03827
to kill,score=-0.038223
didn't,score=-0.038213
>:d,score=-0.038189
>:,score=-0.038187
i don't want,score=-0.038154
managed to,score=-0.037836
sa mga,score=-0.037752
,score=
gym,score=0.064519
out with,score=0.064569
? ? ?,score=0.064663
ill,score=0.064778
great weekend,score=0.064785
a great night,score=0.064826
but im,score=0.064925
! cant wait,score=0.065027
had an amazing,score=0.065071
its,score=0.065183
last night,score=0.065444
love u,score=0.065615
the best,score=0.065732
love my life,score=0.065735
this weekend,score=0.065762
ladies,score=0.065824
ready to,score=0.066012
wait to see,score=0.066403
last night was,score=0.06673
excited for,score=0.066859
the beach,score=0.066888
guys,score=0.067002
my life,score=0.067033
had a great,score=0.067034
here we come,score=0.067154
i cant,score=0.067253
with the girls,score=0.067436
here we,score=0.067471
im so,score=0.067966
text me,score=0.067994
my baby,score=0.068289
bout to,score=0.06833
!,score=0.068387
bday,score=0.068447
i dont,score=0.068712
haha,score=0.069253
so excited,score=0.069679
feelin,score=0.069761
a lil,score=0.069877
night was,score=0.070094
last night !,score=0.070449
yall,score=0.070543
lookin,score=0.070587
wit,score=0.07103
miss,score=0.071597
lets go,score=0.071793
great day,score=0.071962
babe,score=0.072716
bestie,score=0.072805
? ?,score=0.073055
sooo,score=0.073093
amazing,score=0.073429
a great,score=0.073513
soo,score=0.073612
chill,score=0.07371
ready for,score=0.073824
hit me,score=0.073896
bout,score=0.0742
doin,score=0.074412
i love,score=0.075352
blast,score=0.075591
goin to,score=0.076162
soooo,score=0.076253
! !,score=0.076864
excited,score=0.076892
;),score=0.077329
! ! !,score=0.077357
wait to,score=0.077781
thats,score=0.078205
i love you,score=0.078736
ready,score=0.078951
my girls,score=0.078963
weekend,score=0.079723
a blast,score=0.080497
aint,score=0.081058
an amazing,score=0.081636
fam,score=0.081646
boys,score=0.081934
beach,score=0.082312
girl,score=0.082373
lets,score=0.082495
lovin,score=0.08284
cant wait to,score=0.083
great night,score=0.083338
goin,score=0.086137
hit me up,score=0.086187
night with,score=0.086602
i love my,score=0.086688
ya,score=0.086699
dont,score=0.086847
chillin,score=0.086999
lil,score=0.089155
gettin,score=0.08942
love you,score=0.090361
baby,score=0.092409
cant,score=0.094729
im,score=0.096126
girls,score=0.098354
cant wait,score=0.099558
party,score=0.110272
