fucking,score=-0.085362
sick of,score=-0.071543
depression,score=-0.06832
fuck,score=-0.068195
depressed,score=-0.067765
xd,score=-0.065177
pissed,score=-0.062499
i hate,score=-0.061271
anymore,score=-0.060984
lonely,score=-0.060528
pissed off,score=-0.058807
shit,score=-0.05865
crap,score=-0.057948
sick,score=-0.056915
fuck you,score=-0.056386
hate,score=-0.056362
d:,score=-0.056072
worse,score=-0.056042
alone,score=-0.056013
dead,score=-0.054885
stupid,score=-0.05431
so fucking,score=-0.054193
bloody,score=-0.053958
hell,score=-0.053793
x,score=-0.05336
fucked,score=-0.053195
the hell,score=-0.052805
. i hate,score=-0.052689
bored,score=-0.052654
kill,score=-0.052503
cry,score=-0.052287
nightmare,score=-0.052129
so sick,score=-0.051692
fuck off,score=-0.051453
hates,score=-0.051217
why do i,score=-0.051121
as your status,score=-0.050858
crying,score=-0.050751
scream,score=-0.049862
angry,score=-0.049483
fucking hate,score=-0.049311
put this as,score=-0.049166
my head,score=-0.049083
this as,score=-0.048928
horrible,score=-0.048765
anxiety,score=-0.048673
fed up,score=-0.048555
won't,score=-0.048524
like shit,score=-0.048454
status for,score=-0.048353
: 3,score=-0.048346
as your,score=-0.048279
put this,score=-0.048218
< /,score=-0.048205
depression is,score=-0.048163
this as your,score=-0.04808
shitty,score=-0.048066
/ 3,score=-0.047954
< / 3,score=-0.04782
scared,score=-0.047783
leave me,score=-0.047645
for once,score=-0.047634
annoying,score=-0.04756
so sick of,score=-0.047538
to kill,score=-0.047487
piss,score=-0.047483
apparently,score=-0.047232
i fucking hate,score=-0.047069
status if,score=-0.047018
bother,score=-0.046656
bitch,score=-0.046512
care,score=-0.046492
status if you,score=-0.046431
your status if,score=-0.046414
screaming,score=-0.04631
i wish,score=-0.046254
pain,score=-0.046193
pathetic,score=-0.046141
i hate my,score=-0.046135
die,score=-0.046094
wish i,score=-0.046042
tired of,score=-0.046004
dying,score=-0.045823
headache,score=-0.045749
for at least,score=-0.045642
mood,score=-0.045586
so tired,score=-0.045326
shut,score=-0.045166
>.<,score=-0.044998
mum,score=-0.044983
hate my life,score=-0.044955
worried,score=-0.044877
a bit,score=-0.044867
hurt,score=-0.044866
don't want,score=-0.044803
why does,score=-0.044563
depressing,score=-0.044497
pills,score=-0.044497
hurts,score=-0.044434
your status for,score=-0.044324
,score=
lets get,score=0.0241
a great weekend,score=0.024142
mountains,score=0.024163
camp,score=0.024173
nigga,score=0.024298
in the lord,score=0.024439
this weekend !,score=0.024439
tournament,score=0.024458
opportunity,score=0.024462
ready for,score=0.024489
thanksgiving,score=0.024567
headed,score=0.025095
the gym,score=0.025115
great day !,score=0.025277
im ready,score=0.025313
sweet home,score=0.025551
wit,score=0.025584
headed to,score=0.025655
great day,score=0.025714
... smh,score=0.0258
thank you lord,score=0.025911
the lakers,score=0.025925
you lord for,score=0.025953
game,score=0.025956
a great,score=0.025969
the fullest,score=0.02599
to the fullest,score=0.026095
champs,score=0.026176
spring break,score=0.026335
home sweet,score=0.026352
skiing,score=0.026393
tryna,score=0.02642
dat,score=0.02644
home sweet home,score=0.026454
yea,score=0.026618
blast,score=0.026656
kno,score=0.02671
practice,score=0.026762
swag,score=0.026831
we come !,score=0.026865
psalm,score=0.026951
miami,score=0.027012
here i come,score=0.027088
san diego,score=0.027188
niggas,score=0.027361
game tomorrow,score=0.027429
here we come,score=0.027721
lord for,score=0.027757
! !,score=0.027794
success is,score=0.027897
kobe,score=0.027902
thang,score=0.027944
the fam,score=0.028033
the lord is,score=0.028098
be blessed,score=0.028161
ready,score=0.028544
fullest,score=0.028555
cali,score=0.02856
of the lord,score=0.028577
on my way,score=0.028734
doin,score=0.028745
we come,score=0.029277
in christ,score=0.029318
weekend,score=0.02935
you lord,score=0.029443
life is good,score=0.02946
lets go,score=0.029516
snowboarding,score=0.029582
holla,score=0.029858
church,score=0.030016
wit my,score=0.030043
great weekend,score=0.030058
a blast,score=0.030794
proverbs,score=0.031146
a beautiful day,score=0.031317
game tonight,score=0.031491
finals,score=0.031529
celtics,score=0.031812
team,score=0.032171
greatness,score=0.032496
yall,score=0.032961
bout to,score=0.033174
god is good,score=0.033202
the beach,score=0.033233
!,score=0.033265
volleyball,score=0.034205
blessed,score=0.035512
the lord,score=0.03597
praise,score=0.03674
chillin,score=0.03753
beautiful day,score=0.037671
fam,score=0.038682
blessings,score=0.03918
soccer,score=0.040099
beach,score=0.04025
workout,score=0.04039
basketball,score=0.043449
lakers,score=0.043677
smh,score=0.045455
success,score=0.04591
